"""Prec. Wires (I)-EQ"","
"""Saatvik Green-EQ"","
"""Xtranet Techno.-EQ"","
"""Cemindia Project-EQ"","
"""Borana Weaves-EQ"","
"""CRISIL-EQ"","
"""FlySBS Aviation-EQ"","
"""Steelcast-EQ"","
"""Anawil Wire-EQ"","
"""LG Electronics-EQ"","
"""Aditya AMC-EQ"","
"""Advit Jewels-EQ"","
"""C D S L-EQ"","
"""Hind.Aeronautics-EQ"","
"""Neetu Yoshi-EQ"","
"""Apsis Aerocom-EQ"","
"""Kalind-EQ"","
"""Action Const.Eq.-EQ"","
"""APL Apollo Tubes-EQ"","
"""Acutaas Chemical-EQ"","
"""Quality Power El-EQ"","
"""ADC India-EQ"","
"""Algoquant Fin-EQ"","
"""Meghna Infracon-EQ"","
"""Apar Inds.-EQ"","
"""Krishna Defence-EQ"","
"""Kalyani Cast-Tec-EQ"","
"""Pidilite Inds.-EQ"","
"""DDev Plastiks-EQ"","
"""Modison-EQ"","
"""NBCC-EQ"","
"""Banco Products-EQ"","
"""SML Mahindra-EQ"","
"""Premier Polyfilm-EQ"","
"""Technocraft Ven.-EQ"","
"""Wanbury-EQ"","
"""Nirlon-EQ"","
"""Sonata Software-EQ"","
"""Concord Control-EQ"","
"""Engineers India-EQ"","
"""Vikram Solar-EQ"","
"""Eicher Motors-EQ"","
"""Arrow Greentech-EQ"","
"""HCL Technologies-EQ"","
"""Anthem Bioscienc-EQ"","
"""Ecos (India)-EQ"","
"""Kirl.Pneumatic-EQ"","
"""Raghav Product.-EQ"","
"""MSTC-EQ"","
"""Godfrey Phillips-EQ"","
"""Sharda Cropchem-EQ"","
"""Shaily Engineer.-EQ"","
"""Hexaware Tech.-EQ"","
"""Bajaj Consumer-EQ"","
"""Tata Elxsi-EQ"","
"""SKM Egg Prod.-EQ"","
"""Eco Recyc.-EQ"","
"""Axtel Industries-EQ"","
"""A B B-EQ"","
"""Lupin-EQ"","
"""SKF India Indus.-EQ"","
"""Benares Hotels-EQ"","
"""Silver Touch-EQ"","
"""I T D C-EQ"","
"""Dynacons Sys.-EQ"","
"""Captain Techno.-EQ"","
"""Schneider Elect.-EQ"","
"""Auto.Corp.of Goa-EQ"","
"""Raymond Realty-EQ"","
"""LTM-EQ"","
"""Exhicon Events-EQ"","
"""Kamdhenu-EQ"","
"""Hitachi Energy-EQ"","
"""L. T. Elevator-EQ"","
"""Fiem Industries-EQ"","
"""BLS Internat.-EQ"","
"""Gaudium IVF-EQ"","
"""Astrazeneca Phar-EQ"","
"""Effwa Infra-EQ"","
"""Sunrakshakk Inds-EQ"","
"""Global Education-EQ"","
"""KFin Technolog.-EQ"","
"""CSM Technologies-EQ"","
"""InfoBeans Tech.-EQ"","
"""Transrail Light-EQ"","
"""Bayer Crop Sci.-EQ"","
"""Macpower CNC-EQ"","
"""Behari Lal Engg.-EQ"","
"""Utssav CZ Gold-EQ"","
"""Carraro India-EQ"","
"""Jyothy Labs-EQ"","
"""Yash Highvoltage-EQ"","
"""India Finsec-EQ"","
"""Kothari Petroche-EQ"","
"""SJS Enterprises-EQ"","
"""Aditya Infotech-EQ"","
"""Gandhi Spl. Tube-EQ"","
"""Hind. Unilever-EQ"","
"""Rubicon Research-EQ"","
"""Trent-EQ"","
"""Bajaj Auto-EQ"","
"""Sudeep Pharma-EQ"","
"""Aimtron-EQ"","
"""VST Industries-EQ"","
"""R R Kabel-EQ"","
"""Emami-EQ"","
"""Guj Pipavav Port-EQ"","
"""Indiamart Inter.-EQ"","
"""Dr Lal Pathlabs-EQ"","
"""Seshaasai Tech.-EQ"","
"""Iware Supplych.-EQ"","
"""Advait Energy-EQ"","
"""Schaeffler India-EQ"","
"""Alldigi Tech-EQ"","
"""Nitta Gelatin-EQ"","
"""Monarch Networth-EQ"","
"""NMDC-EQ"","
"""TAAL Tech-EQ"","
"""Jamna Auto Inds.-EQ"","
"""Gulf Oil Lubric.-EQ"","
"""Ceinsys Tech-EQ"","
"""Lloyds Metals-EQ"","
"""RNFI Services-EQ"","
"""Krishana Phosch.-EQ"","
"""Nazara Technolo.-EQ"","
"""Danlaw Tech.-EQ"","
"""Vadilal Enterp.-EQ"","
"""Anlon Tech-EQ"","
"""Sky Gold & Diam.-EQ"","
"""ASM Technologies-EQ"","
"""Syncom Formul.-EQ"","
"""Shringar House-EQ"","
"""Shivalik Bimetal-EQ"","
"""Bizotic Commer.-EQ"","
"""Sterling & Wils.-EQ"","
"""CG Power & Ind-EQ"","
"""L&T Technology-EQ"","
"""Exato Technologies-EQ"","
"""Disa India-EQ"","
"""Borosil Renew.-EQ"","
"""Stylam Industrie-EQ"","
"""Ashoka Buildcon-EQ"","
"""Blue Jet Health-EQ"","
"""Neuland Labs.-EQ"","
"""POCL Enterprises-EQ"","
"""United Spirits-EQ"","
"""Shreeji Ship. Gl-EQ"","
"""Asian Paints-EQ"","
"""Tanla Platforms-EQ"","
"""CARE Ratings-EQ"","
"""KPIT Technologi.-EQ"","
"""Dynamic Cables-EQ"","
"""SK Minerals & Additives-EQ"","
"""Amal-EQ"","
"""KMC Speciality-EQ"","
"""D-Link India-EQ"","
"""Airfloa Rail-EQ"","
"""Modi's Navnirman-EQ"","
"""RPG LifeScience.-EQ"","
"""Jain Resource-EQ"","
"""B P C L-EQ"","
"""Gabriel India-EQ"","
"""Shanthi Gears-EQ"","
"""Centum Electron-EQ"","
"""Menon Bearings-EQ"","
"""Thangamayil Jew.-EQ"","
"""3B Blackbio-EQ"","
"""Saksoft-EQ"","
"""J B Chemicals &-EQ"","
"""ASK Automotive-EQ"","
"""Marsons-EQ"","
"""Ivalue Infosolut-EQ"","
"""Automotive Stamp-EQ"","
"""Vimta Labs-EQ"","
"""SMT Engineering-EQ"","
"""Rajputana Stain.-EQ"","
"""Chambal Fert.-EQ"","
"""Supriya Lifesci.-EQ"","
"""Signpost India-EQ"","
"""Radhika Jeweltec-EQ"","
"""Newgen Software-EQ"","
"""Alivus Life-EQ"","
"""Indo-MIM-EQ"","
"""Havells India-EQ"","
"""Accent Microcell-EQ"","
"""Hind.Construct.-EQ"","
"""Amrutanjan Healt-EQ"","
"""Mayur Uniquoters-EQ"","
"""KSB-EQ"","
"""Rajoo Engineers-EQ"","
"""Caplin Point Lab-EQ"","
"""Pricol Ltd-EQ"","
"""Redtape-EQ"","
"""Unihealth Hosp-EQ"","
"""OSEL Devices-EQ"","
"""Avanti Feeds-EQ"","
"""Tera Software-EQ"","
"""Dhoot Transmission-EQ"","
"""DOMS Industries-EQ"","
"""Expleo Solutions-EQ"","
"""Kwality Pharma-EQ"","
"""Sandur Manganese-EQ"","
"""Diamond Power-EQ"","
"""Radico Khaitan-EQ"","
"""Veedol Corporat-EQ"","
"""Pfizer-EQ"","
"""Quess Corp-EQ"","
"""Emcure Pharma-EQ"","
"""Saint-Gob. Sekur-EQ"","
"""Genus Power-EQ"","
"""Goldiam Intl.-EQ"","
"""Schneider APW-EQ"","
"""Pondy Oxides-EQ"","
"""Ajax Engineering-EQ"","
"""Master Trust-EQ"","
"""Solarworld Ene.-EQ"","
"""Dhanuka Agritech-EQ"","
"""Bhansali Engg.-EQ"","
"""Danish Power-EQ"","
"""Panache Digilife-EQ"","
"""Tanfac Inds.-EQ"","
"""Shakti Pumps-EQ"","
"""Chembond Chemic.-EQ"","
"""Ram Ratna Wires-EQ"","
"""Shraddha Prime-EQ"","
"""Vedant Fashions-EQ"","
"""Glottis-EQ"","
"""Volt.Transform.-EQ"","
"""Coforge-EQ"","
"""CFF Fluid-EQ"","
"""Sumitomo Chemi.-EQ"","
"""Amic Forging-EQ"","
"""Sobhagya Mercant-EQ"","
"""Kesar India-EQ"","
"""Skipper-EQ"","
"""T R I L-EQ"","
"""Kajaria Ceramics-EQ"","
"""Chandan Healthca-EQ"","
"""N S D L-EQ"","
"""Kingfa Science-EQ"","
"""Kilburn Engg.-EQ"","
"""IIFL Capital-EQ"","
"""Colab Platforms-EQ"","
"""Tech Mahindra-EQ"","
"""Axis Solution-EQ"","
"""ICRA-EQ"","
"""DC Infotech-EQ"","
"""Shri Ahimsa-EQ"","
"""M & B Engineer.-EQ"","
"""Onward Technolog-EQ"","
"""Nurture Well Industries-EQ"","
"""Welspun Corp-EQ"","
"""Railtel Corpn.-EQ"","
"""Tembo Global-EQ"","
"""Interarch Build.-EQ"","
"""Titan Biotech-EQ"","
"""Zensar Tech.-EQ"","
"""Petronet LNG-EQ"","
"""Studds Accessor.-EQ"","
"""Jagsonpal Pharma-EQ"","
"""JSW Dulux-EQ"","
"""Balu Forge-EQ"","
"""Ador Welding-EQ"","
"""Refex Industries-EQ"","
"""Cellecor Gadgets-EQ"","
"""Prem. Explosives-EQ"","
"""Vision Infra-EQ"","
"""Onemi Technology-EQ"","
"""Kovai Medical-EQ"","
"""Hexagon Nutri.-EQ"","
"""Venus Pipes-EQ"","
"""Q-Line Biotech-EQ"","
"""CLN Energy-EQ"","
"""Tinna Rubber-EQ"","
"""Privi Speci.-EQ"","
"""TPL Plastech-EQ"","
"""H P C L-EQ"","
"""Vadilal Inds.-EQ"","
"""Black Box-EQ"","
"""Insolation Ener-EQ"","
"""NDR Auto Compon.-EQ"","
"""Modi Naturals-EQ"","
"""Himadri Special-EQ"","
"""Aryaman Fin.Serv-EQ"","
"""Mphasis-EQ"","
"""Jaro Institute-EQ"","
"""Elgi Equipments-EQ"","
"""Coromandel Inter-EQ"","
"""Rites-EQ"","
"""PNGS Reva Diamo.-EQ"","
"""Tuticorin Alkali-EQ"","
"""Bikaji Foods-EQ"","
"""Divi's Lab.-EQ"","
"""Garware Tech.-EQ"","
"""Data Pattern-EQ"","
"""ICICI Lombard-EQ"","
"""U P Hotels-EQ"","
"""RBZ Jewellers Lt-EQ"","
"""ADF Foods-EQ"","
"""Power Mech Proj.-EQ"","
"""Pix Transmission-EQ"","
"""EPack PrefabTech-EQ"","
"""Venus Remedies-EQ"","
"""Baheti Recycling-EQ"","
"""Uniparts India-EQ"","
"""B-Right Real-EQ"","
"""Automotive Axles-EQ"","
"""Berger Paints-EQ"","
"""Bosch-EQ"","
"""Fredun Pharma-EQ"","
"""Fine Organic-EQ"","
"""Siemens-EQ"","
"""GPT Infraproject-EQ"","
"""Bharti Hexacom-EQ"","
"""T B Z-EQ"","
"""KSH Internationa-EQ"","
"""Grauer & Weil-EQ"","
"""Vesuvius India-EQ"","
"""Vinati Organics-EQ"","
"""Va Tech Wabag-EQ"","
"""Namo eWaste-EQ"","
"""Vinsys IT Serv.-EQ"","
"""Jyoti CNC Auto.-EQ"","
"""Vijaya Diagnost.-EQ"","
"""Pace Digitek-EQ"","
"""Blue Star-EQ"","
"""Alkem Lab-EQ"","
"""Senco Gold-EQ"","
"""Caliber Mining-EQ"","
"""Antelopus Selan-EQ"","
"""Campus Activewe.-EQ"","
"""Elantas Beck-EQ"","
"""Lumax Auto Tech.-EQ"","
"""Grindwell Norton-EQ"","
"""Pradeep Metals-EQ"","
"""Bai-Kakaji Poly.-EQ"","
"""EIH Assoc.Hotels-EQ"","
"""Rolex Rings-EQ"","
"""Pasupati Acrylon-EQ"","
"""Birlasoft Ltd-EQ"","
"""Sri Lotus-EQ"","
"""Zydus Lifesci.-EQ"","
"""AIA Engineering-EQ"","
"""Unicommerce-EQ"","
"""Olectra Greentec-EQ"","
"""Forbes Precision-EQ"","
"""Parth Electrical-EQ"","
"""The Anup Enginee-EQ"","
"""ABS Marine-EQ"","
"""Navin Fluo.Intl.-EQ"","
"""P N Gadgil Jewe.-EQ"","
"""Freshara Agro-EQ"","
"""Tata Technolog.-EQ"","
"""Elecon Engg.Co-EQ"","
"""Datamatics Glob.-EQ"","
"""SPR Auto Technologies-EQ"","
"""Anlon Healthcare-EQ"","
"""Supreme Inds.-EQ"","
"""Ashapura Minech.-EQ"","
"""Bhagyanagar Ind-EQ"","
"""Vidya Wires-EQ"","
"""Jayaswal Neco-EQ"","
"""EIH-EQ"","
"""Clean Science-EQ"","
"""NIIT Learning-EQ"","
"""Symphony-EQ"","
"""Fermenta Biotec.-EQ"","
"""Wework India-EQ"","
"""Thomas Scott-EQ"","
"""Titan Company-EQ"","
"""Sun Pharma.Inds.-EQ"","
"""Kalyan Jewellers-EQ"","
"""Laser Power-EQ"","
"""Ahluwalia Contr.-EQ"","
"""Keltech Energies-EQ"","
"""Enviro Infra-EQ"","
"""High Energy Bat.-EQ"","
"""Godawari Power-EQ"","
"""IIRM Holdings-EQ"","
"""Kirl. Brothers-EQ"","
"""GNG Electronics-EQ"","
"""Dabur India-EQ"","
"""Sirca Paints-EQ"","
"""Innovision-EQ"","
"""Astra Microwave-EQ"","
"""Bharat Seats-EQ"","
"""Metro Brands-EQ"","
"""RNIT AI Solution-EQ"","
"""AGI Infra-EQ"","
"""KEI Industries-EQ"","
"""SEAMEC Ltd-EQ"","
"""South West Pinn.-EQ"","
"""GPT Healthcare-EQ"","
"""Pearl Global Ind-EQ"","
"""Sunshield Chem.-EQ"","
"""Indo Amines-EQ"","
"""Orient Electric-EQ"","
"""Manaksia Coated-EQ"","
"""EFC (I)-EQ"","
"""Anand Rathi Shar-EQ"","
"""Apcotex Industri-EQ"","
"""Magellanic Cloud-EQ"","
"""Shri Venkatesh-EQ"","
"""Z-Tech (India)-EQ"","
"""Subros-EQ"","
"""Ramco Systems-EQ"","
"""Varun Beverages-EQ"","
"""Fabtech Techn.-EQ"","
"""Network People-EQ"","
"""Asian Hotels (W)-EQ"","
"""Uno Minda-EQ"","
"""Hemant Surgical-EQ"","
"""L G Balakrishnan-EQ"","
"""AGI Greenpac-EQ"","
"""K P R Mill Ltd-EQ"","
"""Arvind Fashions.-EQ"","
"""Sai Life-EQ"","
"""Avalon Tech-EQ"","
"""V2 Retail-EQ"","
"""OBSC Perfection-EQ"","
"""R Systems Intl.-EQ"","
"""Indus Towers-EQ"","
"""Usha Martin-EQ"","
"""Transport Corp.-EQ"","
"""Thejo Engg.-EQ"","
"""Modern Insulator-EQ"","
"""Ganesh Consumer-EQ"","
"""M B Agro Prod.-EQ"","
"""Park Medi World-EQ"","
"""Jindal Stain.-EQ"","
"""Arkade-EQ"","
"""Advance Agrolife-EQ"","
"""Safari Inds.-EQ"","
"""Cera Sanitary.-EQ"","
"""Uni Abex Alloy-EQ"","
"""Astral-EQ"","
"""Honasa Consumer-EQ"","
"""Linc-EQ"","
"""Godrej Agrovet-EQ"","
"""Beta Drugs Ltd-EQ"","
"""CEAT-EQ"","
"""Panama Petrochem-EQ"","
"""C.E. Info System-EQ"","
"""ZF Commercial-EQ"","
"""Cantabil Retail-EQ"","
"""Sambhv Steel-EQ"","
"""Maruti Suzuki-EQ"","
"""Crompton Gr. Con-EQ"","
"""Varroc Engineer-EQ"","
"""Tankup Engi.-EQ"","
"""GSP Crop Science-EQ"","
"""Aeroflex-EQ"","
"""Ganesh Infra.-EQ"","
"""Black Rose Indus-EQ"","
"""Aayush Art-EQ"","
"""Denta Water-EQ"","
"""Kusumgar-EQ"","
"""Wheels India-EQ"","
"""Siyaram Silk-EQ"","
"""Indegene-EQ"","
"""Hind Rectifiers-EQ"","
"""Marksans Pharma-EQ"","
"""Supreme Petroch.-EQ"","
"""Kaveri Seed Co.-EQ"","
"""Ganesh Housing-EQ"","
"""Vidhi Specialty-EQ"","
"""Godrej Consumer-EQ"","
"""Creative Newtech-EQ"","
"""Digilogic Systems-EQ"","
"""Vinyas Innovativ-EQ"","
"""Bright Outdoor-EQ"","
"""I O C L-EQ"","
"""Sejal Glass-EQ"","
"""Talbros Auto.-EQ"","
"""Punjab Chemicals-EQ"","
"""NESCO-EQ"","
"""Federal-Mogul Go-EQ"","
"""Integra Engg.-EQ"","
"""Gujarat Energy-EQ"","
"""Molbio Diagnosti-EQ"","
"""NRB Bearings-EQ"","
"""Share India Sec.-EQ"","
"""Redington-EQ"","
"""V-Guard Industri-EQ"","
"""Allied Blenders-EQ"","
"""Indian Metals-EQ"","
"""J Kumar Infra-EQ"","
"""TBO Tek-EQ"","
"""Chamanlal Setia-EQ"","
"""Strides Pharma-EQ"","
"""Gulshan Polyols-EQ"","
"""Fineotex Chem-EQ"","
"""D B Corp-EQ"","
"""Kalpataru Proj.-EQ"","
"""AWL Agri Busine.-EQ"","
"""VRL Logistics-EQ"","
"""Timken India-EQ"","
"""Linde India-EQ"","
"""Gallantt Ispat L-EQ"","
"""IFB Industries-EQ"","
"""Marine Electric.-EQ"","
"""Vintage Coffee-EQ"","
"""SBC Exports-EQ"","
"""Pudumjee Paper-EQ"","
"""Dolat Algotech-EQ"","
"""J.G.Chemicals-EQ"","
"""Kewal Kir.Cloth.-EQ"","
"""M R P L-EQ"","
"""Happy Forgings-EQ"","
"""Xchanging Sol.-EQ"","
"""Garware Hi Tech-EQ"","
"""Mastek-EQ"","
"""Piccadily Agro-EQ"","
"""Assoc.Alcohols-EQ"","
"""Empire Inds.-EQ"","
"""CWD-EQ"","
"""G M Breweries-EQ"","
"""Choice Intl.-EQ"","
"""Indo Rama Synth.-EQ"","
"""Indigo Paints-EQ"","
"""Swaraj Suiting-EQ"","
"""Ratnamani Metals-EQ"","
"""Indraprastha Gas-EQ"","
"""TCPL Packaging-EQ"","
"""Guj. Themis Bio.-EQ"","
"""Motisons Jewel-EQ"","
"""EPL Ltd-EQ"","
"""Wipro-EQ"","
"""Metropolis Healt-EQ"","
"""Endurance Tech.-EQ"","
"""Carysil-EQ"","
"""Saregama India-EQ"","
"""Laurus Labs-EQ"","
"""United Polyfab-EQ"","
"""L T Foods-EQ"","
"""Lumax Industries-EQ"","
"""Prostarm Info-EQ"","
"""Sh. Rama Multi.-EQ"","
"""Mangalam World.-EQ"","
"""Jash Engineering-EQ"","
"""CMS Info Systems-EQ"","
"""Sundram Fasten.-EQ"","
"""Bharti Airtel-EQ"","
"""Omnitech Engg.-EQ"","
"""Kennametal India-EQ"","
"""Bharat Rasayan-EQ"","
"""India Homes-EQ"","
"""S P I C-EQ"","
"""Nuvama Wealth-EQ"","
"""Arih.Found.Hsg.-EQ"","
"""Apollo Hospitals-EQ"","
"""Foseco India-EQ"","
"""Concord Biotech-EQ"","
"""GHCL-EQ"","
"""Matrimony.com-EQ"","
"""Cello World-EQ"","
"""Goodyear India-EQ"","
"""Magna Electrocas-EQ"","
"""Sarda Energy-EQ"","
"""TVS Motor Co.-EQ"","
"""Dr Agarwal's Eye-EQ"","
"""General Insuranc-EQ"","
"""Rainbow Child.-EQ"","
"""JNK-EQ"","
"""20 Microns-EQ"","
"""Oberoi Realty-EQ"","
"""Ceigall India-EQ"","
"""Route Mobile-EQ"","
"""Eveready Inds.-EQ"","
"""FSN E-Commerce-EQ"","
"""Adani Power-EQ"","
"""Avenue Super.-EQ"","
"""Kanpur Plastipa.-EQ"","
"""Natco Pharma-EQ"","
"""Mahanagar Gas-EQ"","
"""Tube Investments-EQ"","
"""Global Health-EQ"","
"""Paradeep Phosph.-EQ"","
"""Chalet Hotels-EQ"","
"""Indian Hotels Co-EQ"","
"""JOJO-EQ"","
"""Gravita India-EQ"","
"""BLS E-Services-EQ"","
"""Ipca Labs.-EQ"","
"""Filatex India-EQ"","
"""Aditya Vision-EQ"","
"""Suraksha Diagno.-EQ"","
"""EID Parry-EQ"","
"""India Nipp.Elec.-EQ"","
"""Honeywell Auto-EQ"","
"""TVS Holdings-EQ"","
"""Bliss GVS Pharma-EQ"","
"""Balmer Law. Inv.-EQ"","
"""Paras Defence-EQ"","
"""Affle 3i-EQ"","
"""Nucleus Soft.-EQ"","
"""Remus Pharma.-EQ"","
"""Flair Writing-EQ"","
"""Rashi Peripheral-EQ"","
"""Butterfly Gan Ap-EQ"","
"""Firstsour.Solu.-EQ"","
"""NCC-EQ"","
"""Syrma SGS Tech.-EQ"","
"""Kody Technolab-EQ"","
"""Welspun Enterp-EQ"","
"""Amines & Plast.-EQ"","
"""Dodla Dairy-EQ"","
"""Time Technoplast-EQ"","
"""NGL Fine Chem-EQ"","
"""Spectrum Electr.-EQ"","
"""Star Cement-EQ"","
"""FDC-EQ"","
"""Gretex Corporate-EQ"","
"""Alkyl Amines-EQ"","
"""Blue Dart Expres-EQ"","
"""India Pesticides-EQ"","
"""RACL Geartech-EQ"","
"""Vikran Engg.-EQ"","
"""Scoda Tubes-EQ"","
"""KEC International-EQ"","
"""Asian Energy-EQ"","
"""Sun TV Network-EQ"","
"""Deep Industries-EQ"","
